"COUNTYNAME","TOWNNAME","Votes_Total","TPP","DPP","KMT"
"南投縣","中寮鄉",8392,0.234151572926597,0.393231649189704,0.372616777883699
"南投縣","仁愛鄉",7668,0.248174230568597,0.131585811163276,0.620239958268127
"南投縣","信義鄉",8039,0.249284736907576,0.251026247045652,0.499689016046772
"南投縣","南投市",59468,0.270363893186251,0.351079572206901,0.378556534606847
"南投縣","名間鄉",22442,0.251626414758043,0.44176098386953,0.306612601372427
"南投縣","國姓鄉",10049,0.237038511294656,0.339038710319435,0.423922778385909
"南投縣","埔里鎮",45313,0.263279853463686,0.337761790214729,0.398958356321585
"南投縣","水里鄉",9556,0.227605692758476,0.372331519464211,0.400062787777313
"南投縣","竹山鎮",31331,0.249241964827168,0.403147042864894,0.347610992307938
"南投縣","草屯鎮",59939,0.285690451959492,0.364003403460185,0.350306144580323
"南投縣","集集鎮",6212,0.253058596265293,0.365743721828719,0.381197681905988
"南投縣","魚池鄉",8552,0.235968194574369,0.383536014967259,0.380495790458372
"南投縣","鹿谷鄉",10335,0.217416545718433,0.376294146105467,0.406289308176101
"嘉義市","東區",70963,0.246424192889252,0.421360427264913,0.332215379845835
"嘉義市","西區",86693,0.259109732042956,0.441765771169529,0.299124496787515
"嘉義縣","中埔鄉",25760,0.245496894409938,0.454580745341615,0.299922360248447
"嘉義縣","六腳鄉",12789,0.183673469387755,0.545155993431856,0.271170537180389
"嘉義縣","大埔鄉",2108,0.216793168880455,0.428368121442125,0.354838709677419
"嘉義縣","大林鎮",18304,0.236232517482517,0.462685751748252,0.301081730769231
"嘉義縣","太保市",22852,0.272011202520567,0.459653422019955,0.268335375459478
"嘉義縣","布袋鎮",14514,0.199531486840292,0.492076615681411,0.308391897478297
"嘉義縣","新港鄉",18432,0.225694444444444,0.54345703125,0.230848524305556
"嘉義縣","朴子市",24073,0.216009637353051,0.470153283761891,0.313837078885058
"嘉義縣","東石鄉",13169,0.178069709165464,0.495785556989901,0.326144733844635
"嘉義縣","梅山鄉",10952,0.217403214024836,0.454163623082542,0.328433162892622
"嘉義縣","民雄鄉",43034,0.264767393223962,0.458056420504717,0.27717618627132
"嘉義縣","水上鄉",29855,0.244381175682465,0.466153073187071,0.289465751130464
"嘉義縣","溪口鄉",8170,0.213708690330477,0.543084455324357,0.243206854345165
"嘉義縣","番路鄉",6622,0.230141951072184,0.42600422832981,0.343853820598007
"嘉義縣","竹崎鄉",20219,0.227014194569464,0.468420792324052,0.304565013106484
"嘉義縣","義竹鄉",10204,0.178655429243434,0.524990199921599,0.296354370834967
"嘉義縣","阿里山鄉",2805,0.222459893048128,0.224955436720143,0.552584670231729
"嘉義縣","鹿草鄉",8672,0.199838560885609,0.533440959409594,0.266720479704797
"基隆市","七堵區",31763,0.271762742813966,0.363756572112206,0.364480685073828
"基隆市","中山區",27665,0.265895535875655,0.355539490330743,0.378564973793602
"基隆市","中正區",29943,0.267241091407007,0.342016498012891,0.390742410580102
"基隆市","仁愛區",23965,0.239724598372627,0.386647193824327,0.373628207803046
"基隆市","信義區",33103,0.271606803008791,0.31664803794218,0.411745159049029
"基隆市","安樂區",49053,0.262695451858194,0.347114345707704,0.390190202434102
"基隆市","暖暖區",23289,0.282665636137232,0.32946884795397,0.387865515908798
"宜蘭縣","三星鄉",12895,0.229236138037999,0.504071345482745,0.266692516479256
"宜蘭縣","五結鄉",25129,0.271837319431732,0.483823470890207,0.244339209678061
"宜蘭縣","冬山鄉",32586,0.267783710796047,0.49622537285951,0.235990916344442
"宜蘭縣","南澳鄉",2944,0.236413043478261,0.0920516304347826,0.671535326086957
"宜蘭縣","員山鄉",19795,0.26087395807022,0.481030563273554,0.258095478656226
"宜蘭縣","壯圍鄉",14858,0.258850450935523,0.478597388612195,0.262552160452282
"宜蘭縣","大同鄉",3233,0.249613362202289,0.151252706464584,0.599133931333127
"宜蘭縣","宜蘭市",55482,0.271060884611225,0.408186438845031,0.320752676543744
"宜蘭縣","礁溪鄉",21426,0.254970596471577,0.463082236535051,0.281947166993373
"宜蘭縣","羅東鎮",40237,0.26465690782116,0.453214702885404,0.282128389293436
"宜蘭縣","蘇澳鎮",22177,0.247598863687604,0.460973080218244,0.291428056094152
"宜蘭縣","頭城鎮",16367,0.275126779495326,0.382965723712348,0.341907496792326
"屏東縣","三地門鄉",4706,0.232681682957926,0.180407989800255,0.586910327241819
"屏東縣","九如鄉",13602,0.209748566387296,0.574841935009557,0.215409498603147
"屏東縣","佳冬鄉",10842,0.182254196642686,0.549898542704298,0.267847260653016
"屏東縣","來義鄉",4505,0.250610432852386,0.150499445061043,0.59889012208657
"屏東縣","內埔鄉",31671,0.214581162577753,0.499921063433425,0.285497773988823
"屏東縣","南州鄉",6253,0.18870941947865,0.549176395330241,0.262114185191108
"屏東縣","屏東市",116168,0.231294332346257,0.433389573720818,0.335316093932925
"屏東縣","崁頂鄉",8193,0.202611985841572,0.548883192969608,0.24850482118882
"屏東縣","恆春鎮",15015,0.235830835830836,0.423709623709624,0.34045954045954
"屏東縣","新園鄉",20357,0.20022596649801,0.572333840939235,0.227440192562755
"屏東縣","新埤鄉",5715,0.186001749781277,0.510236220472441,0.303762029746282
"屏東縣","春日鄉",2665,0.265290806754221,0.124202626641651,0.610506566604128
"屏東縣","東港鎮",26986,0.218780108204254,0.528829763581116,0.25239012821463
"屏東縣","枋寮鄉",13509,0.198904434080983,0.502923976608187,0.29817158931083
"屏東縣","枋山鄉",2850,0.171578947368421,0.518947368421053,0.309473684210526
"屏東縣","林邊鄉",10286,0.174703480458876,0.558526152051332,0.266770367489792
"屏東縣","泰武鄉",3217,0.266708113148896,0.161019583462854,0.57227230338825
"屏東縣","滿州鄉",3643,0.187208344770793,0.481745813889651,0.331045841339555
"屏東縣","潮州鎮",31751,0.22622909514661,0.473024471670184,0.300746433183207
"屏東縣","牡丹鄉",2577,0.225844004656577,0.176561893674816,0.597594101668607
"屏東縣","獅子鄉",2772,0.233766233766234,0.125901875901876,0.64033189033189
"屏東縣","琉球鄉",6296,0.230146124523507,0.353398983481576,0.416454891994917
"屏東縣","瑪家鄉",4263,0.258268824771288,0.168895144264602,0.57283603096411
"屏東縣","竹田鄉",10317,0.185712901037123,0.540467190074634,0.273819908888243
"屏東縣","萬丹鄉",30193,0.221938860000662,0.519491272811579,0.258569867187759
"屏東縣","萬巒鄉",11660,0.191423670668954,0.557632933104631,0.250943396226415
"屏東縣","車城鄉",4469,0.190646677108973,0.505258447079884,0.304094875811143
"屏東縣","里港鄉",15652,0.225721952466139,0.534628162535139,0.239649884998722
"屏東縣","長治鄉",18278,0.225188751504541,0.475763212605318,0.299048035890141
"屏東縣","霧臺鄉",2198,0.205641492265696,0.207916287534122,0.586442220200182
"屏東縣","高樹鄉",13804,0.166256157635468,0.59026369168357,0.243480150680962
"屏東縣","鹽埔鄉",14392,0.224082823790995,0.457684824902724,0.318232351306281
"屏東縣","麟洛鄉",7122,0.193906206121876,0.537068239258635,0.269025554619489
"彰化縣","二林鎮",27545,0.26316935923035,0.359847522236341,0.376983118533309
"彰化縣","二水鄉",8802,0.225630538513974,0.425017041581459,0.349352419904567
"彰化縣","伸港鄉",22377,0.333109889618805,0.3401707109979,0.326719399383295
"彰化縣","北斗鎮",19680,0.281656504065041,0.388313008130081,0.330030487804878
"彰化縣","和美鎮",53383,0.314388475731975,0.363861154300058,0.321750369967967
"彰化縣","員林市",72970,0.288461011374538,0.373797451007263,0.337741537618199
"彰化縣","埔心鄉",21044,0.295523664702528,0.396312488120129,0.308163847177343
"彰化縣","埔鹽鄉",19117,0.283412669351886,0.332897421143485,0.383689909504629
"彰化縣","埤頭鄉",16811,0.282374635655226,0.38998274939028,0.327642614954494
"彰化縣","大城鄉",7943,0.236434596500063,0.377816945738386,0.385748457761551
"彰化縣","大村鄉",24252,0.313829787234043,0.372134256968497,0.31403595579746
"彰化縣","彰化市",136802,0.295646262481543,0.370301603777723,0.334052133740735
"彰化縣","永靖鄉",21634,0.281593787556624,0.392206711657576,0.3261995007858
"彰化縣","溪州鄉",16951,0.256445047489824,0.452775647454427,0.290779305055749
"彰化縣","溪湖鎮",31324,0.296577703996935,0.362629293832205,0.340793002170859
"彰化縣","田中鎮",23885,0.271760519154281,0.380992254553067,0.347247226292652
"彰化縣","田尾鄉",15896,0.283970810266734,0.391922496225466,0.324106693507801
"彰化縣","社頭鄉",25284,0.286426198386331,0.404168644201867,0.309405157411802
