"RouteUID","RouteID","RouteName","SubRouteUID","SubRouteID","SubRouteName","Direction","Sequence","FromStopID","ToStopID","Distance"
"HSZ0008","0008","83","HSZ0008A1","0008A1","83支A",0,1,"","303612",""
"HSZ0008","0008","83","HSZ0008A1","0008A1","83支A",0,2,"303612","303610","591.01"
"HSZ0008","0008","83","HSZ0008A1","0008A1","83支A",0,3,"303610","304247","267.94"
"HSZ0008","0008","83","HSZ0008A1","0008A1","83支A",0,4,"304247","303592","1184.09"
"HSZ0008","0008","83","HSZ0008A1","0008A1","83支A",0,5,"303592","303590","294.82"
"HSZ0008","0008","83","HSZ0008A1","0008A1","83支A",0,6,"303590","303588","527.37"
"HSZ0008","0008","83","HSZ0008A1","0008A1","83支A",0,7,"303588","303586","469.65"
"HSZ0008","0008","83","HSZ0008A1","0008A1","83支A",0,8,"303586","303582","378.28"
"HSZ0008","0008","83","HSZ0008A1","0008A1","83支A",0,9,"303582","303580","321.07"
"HSZ0008","0008","83","HSZ0008A1","0008A1","83支A",0,10,"303580","303578","739.45"
"HSZ0008","0008","83","HSZ0008A1","0008A1","83支A",0,11,"303578","303577","432.3"
"HSZ0008","0008","83","HSZ0008A2","0008A2","83支A",1,1,"","304248",""
"HSZ0008","0008","83","HSZ0008A2","0008A2","83支A",1,2,"304248","303579","382.52"
"HSZ0008","0008","83","HSZ0008A2","0008A2","83支A",1,3,"303579","303581","743.19"
"HSZ0008","0008","83","HSZ0008A2","0008A2","83支A",1,4,"303581","303583","425.67"
"HSZ0008","0008","83","HSZ0008A2","0008A2","83支A",1,5,"303583","303587","410.91"
"HSZ0008","0008","83","HSZ0008A2","0008A2","83支A",1,6,"303587","303589","442.74"
"HSZ0008","0008","83","HSZ0008A2","0008A2","83支A",1,7,"303589","303591","551.1"
"HSZ0008","0008","83","HSZ0008A2","0008A2","83支A",1,8,"303591","303593","244.48"
"HSZ0008","0008","83","HSZ0008A2","0008A2","83支A",1,9,"303593","303611","1394.84"
"HSZ0008","0008","83","HSZ0008A2","0008A2","83支A",1,10,"303611","303613","642.53"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,1,"","291761",""
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,2,"291761","291741",""
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,3,"291741","291763","390.56"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,4,"291763","291236","292.7"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,5,"291236","304418","714.15"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,6,"304418","304420","511.96"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,7,"304420","291234","218.78"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,8,"291234","291243","361.46"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,9,"291243","291764","369.47"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,10,"291764","291225","326.03"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,11,"291225","291246","310.85"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,12,"291246","291222","250.38"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,13,"291222","291241","232.35"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,14,"291241","291240","192.63"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,15,"291240","291230","267.88"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,16,"291230","291242","406.13"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,17,"291242","291237","504.18"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,18,"291237","293681","349.08"
"HSZ0010","0010","藍線1區","HSZ001001","001001","藍線1區",0,19,"293681","291238","649.65"
